title,organization,department,track,domain,description,published,maxTeams,order
Intelligent Pesticide Sprinkling System Determined by the Infection Level of a Plant,Government of Punjab,,Hardware,Agriculture,Develop an intelligent system that detects plant infections and regulates pesticide application accordingly to address overuse of pesticides in agriculture and promote sustainable farming practices.,true,,15
Automated Student Attendance Monitoring and Analytics System for Colleges,Government of Punjab,,Software,Education,Develop a system that automates student attendance tracking provides analytics for better academic planning and works seamlessly in both in-person and online settings replacing manual college attendance processes.,true,,16
Digital Platform for Centralized Alumni Data Management and Engagement,Government of Punjab,,Software,Education,Develop a centralized system for managing alumni data in educational institutions to improve engagement and leverage alumni networks for mentorship fundraising and other collaborations addressing scattered data and limited communication.,true,,17
Telemedicine Access for Rural Healthcare in Nabha,Government of Punjab,,Software,Health,Improve healthcare delivery in rural areas near Nabha facing staff shortages long travel distances and poor infrastructure through telemedicine and digital health solutions to improve outcomes and reduce financial strain.,true,,18
Digital Learning Platform for Rural School Students in Nabha,Government of Punjab,,Software,Education,Address the lack of digital resources and infrastructure in rural schools in Nabha by developing a digital learning platform to bridge the digital literacy gap and improve access to modern educational content and skills.,true,,19
Development of indigenous contactless Integrated Track Monitoring Systems for Track Recording on Indian Railways,Ministry of Railways,,Hardware,Industry & MSME Innovation,Develop an indigenous contactless Integrated Track Monitoring System to replace costly foreign systems measuring track geometry rail profiles and component conditions with real-time data processing to promote self-reliance and reduce costs.,true,,20
AI based development of Laser based QR Code marking on track fittings on Indian Railways,Ministry of Railways,,Hardware,Transportation,Develop an AI-based system for laser-based QR code marking on track fittings for Indian Railways enabling mobile scanning integrating with existing portals and providing AI-driven reports for quality monitoring and inventory management.,true,,21
Maximizing Section Throughput Using AI-Powered Precise Train Traffic Control,Ministry of Railways,,Software,Transportation,Develop an AI-powered decision-support system to assist controllers in making real-time decisions for train precedence and crossings to maximize section throughput and minimize travel time in Indian Railways.,true,,22
AyurSutra - Panchakarma Patient Management and Therapy Scheduling Software,Ministry of Ayush,,Software,Health,Develop a software solution for Panchakarma patient management and therapy scheduling automating scheduling providing notifications and offering real-time therapy tracking and feedback mechanisms to improve efficiency and patient care.,true,,23
Comprehensive Cloud-Based Practice Management and Nutrient Analysis Software for Ayurvedic Dietitians,Ministry of Ayush,,Software,Health,Develop cloud-based software for Ayurvedic dietitians to create and manage patient-specific diet charts integrating Ayurvedic principles with modern nutritional metrics offering a food database automated diet chart generation and patient management.,true,,24
E-tongue for Dravya identification,Ministry of Ayush,,Hardware,Health,Develop an AI-enabled device incorporating an electronic tongue and analytical techniques for objective quality assessment of herbal samples to classify herbs based on taste profiles and phytochemical composition addressing adulteration and standardization issues.,true,,25
Develop API code to integrate NAMASTE and ICD-11 TM2 into existing EMR systems complying with EHR Standards for India,Ministry of Ayush,,Software,Health,Develop an API to integrate NAMASTE and ICD-11 TM2 into existing EMR systems in India enabling clinicians to record traditional medicine diagnoses map them to ICD-11 codes and include a terminology micro-service with auto-complete translation and FHIR bundle upload.,true,,26
Develop a blockchain-based system for botanical traceability of Ayurvedic herbs including geo-tagging from collection to final formulation label,Ministry of Ayush,,Software,Open Innovation,Develop a blockchain-based system for tracking Ayurvedic herbs from collection to consumer using geo-tagging and smart contracts to ensure quality authenticity and sustainability improving transparency and supporting ethical sourcing.,true,,27
Smart Classroom and Timetable Scheduler,Government of Jharkhand,,Software,Education,Develop an optimized timetable scheduler for higher education institutions considering classroom availability faculty student preferences to maximize resource utilization and minimize conflicts as a web-based platform for authorized personnel.,true,,28
Authenticity Validator for Academia,Government of Jharkhand,,Software,Education,Create a digital platform to verify the authenticity of academic degrees and certificates in Jharkhand using OCR AI and blockchain to cross-verify documents against institutional databases ensuring security and scalability to combat fake credentials.,true,,29
AI-Based Crop Recommendation for Farmers,Government of Jharkhand,,Software,Agriculture,Develop an AI-driven mobile application that provides farmers with personalized crop recommendations integrating real-time data on soil properties weather forecasts market trends and past crop rotation to suggest suitable crops forecast yields and promote sustainable agriculture.,true,,30
Crowdsourced Civic Issue Reporting and Resolution System,Government of Jharkhand,,Software,Waste Management,Create a mobile and web-based system for citizens to report civic issues to the local government allowing users to submit reports with photos location data and descriptions while providing a dashboard for government staff to manage and resolve issues.,true,,31
Development of a Smart Digital Platform to Promote Eco and Cultural Tourism in Jharkhand,Government of Jharkhand,,Software,Open Innovation,Develop a smart digital platform to boost eco and cultural tourism in Jharkhand providing AI-powered itinerary planning blockchain-enabled transactions and an integrated marketplace addressing lack of information and limited digital presence.,true,,32
AI-Based Smart Allocation Engine for PM Internship Scheme,Ministry of Corporate Affairs,,Software,Industry & MSME Innovation,Develop an AI-based system to match PM Internship Scheme applicants with suitable opportunities considering skills preferences and affirmative action to improve selection efficiency with a functional prototype including AI matchmaking and front-end demonstration.,true,,33
AI-Based Internship Recommendation Engine for PM Internship Scheme,Ministry of Corporate Affairs,,Software,Education,Develop an AI-based internship recommendation engine for the PM Internship Scheme helping candidates especially those with limited digital literacy find relevant internships by providing 3-5 personalized suggestions based on candidate profiles.,true,,34
Sentiment analysis of comments received through E-consultation module,Ministry of Corporate Affairs,,Software,Open Innovation,Develop an AI model to analyze comments on draft legislation submitted through an eConsultation module performing sentiment analysis generating summaries and creating word clouds to help users efficiently understand feedback.,true,,35
Development of Sensor for Detection of Microplastics,Ministry of Earth Sciences (MoES),,Hardware,Open Innovation,Develop a low-cost efficient and portable sensor to detect microplastics in water sources using optical detection techniques and machine learning algorithms for real-time analysis that is field-deployable for pollution control.,true,,36
Development of a low-cost camera-based automated beach sand grain size mapping system,Ministry of Earth Sciences (MoES),,Hardware,Open Innovation,Develop a low-cost camera-based system to automatically map beach sand grain size distribution using image processing and GNSS/GPS receiver to classify beach types and monitor changes in sediment over time.,true,,37
Blockchain-Based Blue Carbon Registry and MRV System,Ministry of Earth Sciences (MoES),,Software,Waste Management,Create a blockchain-based system for monitoring reporting and verifying blue carbon ecosystem restoration efforts in India ensuring transparency and accuracy in carbon credit generation utilizing blockchain technology and smart contracts.,true,,38
Integrated Platform for Crowdsourced Ocean Hazard Reporting and Social Media Analytics,Ministry of Earth Sciences (MoES),,Software,Open Innovation,Develop a platform for crowdsourced ocean hazard reporting and social media analytics allowing citizens to report observations visualize data and integrate social media feeds to understand hazard events.,true,,39
FloatChat - AI-Powered Conversational Interface for ARGO Ocean Data Discovery and Visualization,Ministry of Earth Sciences (MoES),,Software,Open Innovation,Develop an AI-powered conversational interface for exploring and visualizing oceanographic data from ARGO floats ingesting NetCDF data converting it to structured formats and using a RAG pipeline with LLMs to translate natural language queries into database queries and generate visualizations.,true,,40
AI-Driven Unified Data Platform for Oceanographic Fisheries and Molecular Biodiversity Insights,Ministry of Earth Sciences (MoES),,Software,Open Innovation,Develop an AI-enabled platform to integrate diverse marine datasets for ecosystem assessment and fisheries management supporting data ingestion analysis and visualization for conservation and sustainable resource utilization as a national marine data backbone.,true,,41
Identifying Taxonomy and Assessing Biodiversity from eDNA Datasets,Ministry of Earth Sciences (MoES),,Software,Open Innovation,Develop an AI-driven pipeline to analyze eDNA data from deep-sea samples to identify eukaryotic taxa and assess biodiversity minimizing reliance on reference databases and reducing computational time.,true,,42
Embedded Intelligent Microscopy System for Identification and Counting of Microscopic Marine Organisms,Ministry of Earth Sciences (MoES),,Hardware,Industry & MSME Innovation,Develop an embedded AI system for identifying and counting microscopic marine organisms from microscopy images to automate labor-intensive manual analysis improving efficiency and accuracy handling overlapping organisms and illumination inconsistencies.,true,,43
AI-Powered Crop Yield Prediction and Optimization,Government of Odisha,,Software,Agriculture,Develop an AI-powered platform to predict crop yields and provide actionable recommendations for farmers using historical data weather patterns and soil metrics to optimize irrigation fertilization and pest control for small-scale farmers.,true,,44
Blockchain-Based Supply Chain Transparency for Agricultural Produce,Government of Odisha,,Software,Agriculture,Develop a blockchain-based system to track agricultural produce from farm to consumer ensuring transparency in pricing quality and origin allowing stakeholders to verify transactions and reduce exploitation in the supply chain.,true,,45
Smart Waste Segregation and Recycling System,Government of Odisha,,Hardware,Waste Management,Develop an IoT-enabled system using sensors and machine learning to automatically classify household waste integrating with municipal waste management for efficient collection and recycling with a prototype device and mobile app for monitoring and incentives.,true,,46
Disaster Response Drone for Remote Areas,Government of Odisha,,Hardware,Open Innovation,Develop a drone-based system for delivering medical supplies and communication devices to remote areas during natural disasters using AI for navigation and obstacle avoidance with a mobile app for coordination.,true,,47
Gamified Learning Platform for Rural Education,Government of Odisha,,Software,Education,Develop a gamified digital platform to improve STEM learning for students in rural schools grades 6-12 featuring interactive games multilingual content and offline access to address limited internet connectivity.,true,,48
AI-Driven Public Health Chatbot for Disease Awareness,Government of Odisha,,Software,Health,Develop a multilingual AI chatbot to educate rural and semi-urban populations about preventive healthcare disease symptoms and vaccination schedules integrating with government health databases and providing real-time outbreak alerts.,true,,49
Smart Traffic Management System for Urban Congestion,Government of Odisha,,Software,Transportation,Develop an AI-powered traffic management system to optimize signal timings and reduce urban congestion using real-time data from cameras and IoT sensors to predict and mitigate traffic bottlenecks reducing commute times.,true,,50
Renewable Energy Monitoring System for Microgrids,Government of Odisha,,Hardware,Open Innovation,Develop an IoT-based monitoring system for solar or wind microgrids in rural areas providing real-time data on energy generation storage and consumption alerting users to inefficiencies improving microgrid efficiency with a mobile app for community operators.,true,,51
AR-Based Cultural Heritage Preservation Platform,Government of Odisha,,Software,Open Innovation,Develop an augmented reality platform to digitize and preserve Indian cultural heritage sites offering virtual tours with historical narratives accessible to users in rural areas with low-bandwidth access.,true,,52
Improved Onion storage technology for enhancing shelf life of onions,Ministry of Consumer Affairs Food & Public Distribution (MoCA F&PD),,Hardware,Agriculture,Develop cost-effective storage solutions that manage temperature and humidity to improve onion storage technology extend shelf life reduce losses and address seasonal price volatility potentially incorporating technological advancements.,true,,53
Automated High-Current Short-Circuit Test System for MCB to comply with IEC 60898-1:2015,Ministry of Consumer Affairs Food & Public Distribution (MoCA F&PD),,Hardware,Industry & MSME Innovation,Develop an automated machine with precise control and data acquisition for accurate and safe testing of Miniature Circuit Breakers to comply with IEC 60898-1:2015 replacing inaccurate time-consuming and risky manual methods.,true,,54
Automated Specimen Preparation System for testing of Cable samples as per IS 10810 and IS 7098,Ministry of Consumer Affairs Food & Public Distribution (MoCA F&PD),,Hardware,Open Innovation,Develop an automated machine for preparing cable specimens for testing according to Indian standards replacing manual processes reducing errors and improving consistency of test results for cable safety and quality.,true,,55
Explore alternative assaying methods to the fire assay method for testing of gold jewellery through non-destructive testing,Ministry of Consumer Affairs Food & Public Distribution (MoCA F&PD),,Hardware,Open Innovation,Develop a non-destructive method to test the purity of gold jewelry replacing the current destructive fire assay method with an accurate approach that handles heterogeneous compositions eliminates harmful emissions and is suitable for regulatory and commercial use.,true,,56
Automated Compliance Checker for Legal Metrology Declarations on E-Commerce Platforms,Ministry of Consumer Affairs Food & Public Distribution (MoCA F&PD),,Hardware,Open Innovation,Develop an AI-powered automated compliance checker for e-commerce platforms to extract text from product images validate information against Legal Metrology regulations flag non-compliance issues and provide a dashboard for regulators to monitor violations.,true,,57
Detection and Prevention of Tampering in Weighing and Measuring instruments,Ministry of Consumer Affairs Food & Public Distribution (MoCA F&PD),,Hardware,Open Innovation,Develop a system to detect and prevent tampering in weighing and measuring instruments identifying both physical and digital tampering attempts in real-time and alerting relevant authorities using AI/ML secure logging and remote verification.,true,,58
Enhancing Student Awareness on difference between Aadhaar linked and DBT enabled Aadhaar seeded bank account,Ministry of Social Justice & Empowerment (MoSJE),,Software,Open Innovation,Develop public awareness programs and solutions to increase student awareness regarding the difference between Aadhaar-linked and DBT-enabled bank accounts to prevent scholarship disbursement delays.,true,,59
Real life solutions for Waste Management,Ministry of Social Justice & Empowerment (MoSJE),,Software,Waste Management,Propose solutions like mandatory citizen training waste worker training community participation and digital monitoring systems to improve waste management in India where a large portion of waste remains untreated and poses environmental risks.,true,,60
Digitize and Showcase Monasteries of Sikkim for Tourism and Cultural Preservation,Government of Sikkim,,Software,Open Innovation,Create a digital platform to showcase the monasteries of Sikkim for tourism and cultural preservation offering virtual tours digital archives interactive maps and integration with local services to boost tourism and preserve cultural assets.,true,,61
Implementation of Smart Agriculture for Efficient Cultivation in Hilly Regions,Government of Sikkim,,Hardware,Agriculture,Implement a smart irrigation system in Jorethang South Sikkim to address water scarcity and improve crop yields using sensors crop database automated controls and rainwater harvesting with a mobile/web dashboard for remote monitoring.,true,,62
Developing a cost effective solution for detecting the breakage of Low Voltage AC Distribution Overhead conductors,Government of Kerala,,Hardware,Open Innovation,Develop a cost-effective solution to detect broken low-voltage AC distribution overhead conductors to prevent electrocution isolate the fault and alert the section office addressing high earth resistance and low fault current issues.,true,,63
Improving Renewable Energy hosting capacity in Distribution Feeders and Power quality during high RE injection,Government of Kerala,,Hardware,Open Innovation,Develop a solution to dynamically reconfigure the distribution network based on renewable energy injection and local demand scenarios to address unbalanced loading and uneven voltage profiles caused by high penetration of rooftop solar PV systems.,true,,64
Application for on-spot assessment of Roof Top Rain water harvesting and artificial recharge potential,Ministry of Jal Shakti,,Software,Industry & MSME Innovation,Develop a web/mobile application to assess feasibility of rooftop rainwater harvesting and artificial recharge providing users with personalized outputs including feasibility checks structure suggestions and cost estimations to promote groundwater conservation.,true,,65
Development of an AI-driven ChatBOT for INGRES as a virtual assistant,Ministry of Jal Shakti,,Software,Industry & MSME Innovation,Develop an AI-driven ChatBOT for the INGRES web application providing groundwater resource data to enable users to easily query data access historical assessments and obtain insights improving accessibility and user engagement.,true,,66
Design and development of application for Heavy Metal Pollution indices,Ministry of Jal Shakti,,Software,Open Innovation,Develop an automated application to compute Heavy Metal Pollution Indices in groundwater integrating groundwater heavy metal concentration datasets with geo-coordinates to streamline calculations reduce errors and provide reliable outputs for stakeholders.,true,,67
Real time Groundwater resource evaluation using DWLR data,Ministry of Jal Shakti,,Software,Open Innovation,Develop a mobile application to evaluate groundwater resources in real-time using data from Digital Water Level Recorders across India analyzing water level fluctuations estimating recharge and providing real-time groundwater availability information to stakeholders.,true,,68
AI-Driven Life Cycle Assessment Tool for Advancing Circularity and Sustainability in Metallurgy and Mining,Ministry of Mines,,Software,Open Innovation,Develop an AI-powered software platform for Life Cycle Assessments in the metals industry focusing on circularity allowing users to input data use AI/ML to predict environmental and circularity indicators visualize circular flow opportunities and generate actionable reports.,true,,69
Secure Data Wiping for Trustworthy IT Asset Recycling,Ministry of Mines,,Software,Open Innovation,Design and prototype a secure cross-platform data wiping application for electronic devices to address the e-waste crisis in India securely erasing data generating tamper-proof wipe certificates and being user-friendly to promote safe disposal and reuse of devices.,true,,70
AI-Based Rockfall Prediction and Alert System for Open-Pit Mines,Ministry of Mines,,Software,Open Innovation,Develop an AI-based system to predict rockfalls in open-pit mines using multi-source data like DEMs drone imagery and geotechnical sensor data with a user-friendly dashboard showing real-time risk maps probability-based forecasts and alert mechanisms.,true,,71
Design and Implementation of Solar-Powered Dewatering in Mining Operations,Ministry of Mines,,Hardware,Open Innovation,Implement a solar-powered dewatering system at a copper mining site to reduce operational costs enhance reliability and promote sustainability utilizing an OPEX model with a third-party vendor and incorporating hybrid backup for uninterrupted pumping.,true,,72
AI-Powered Mobile Platform for Democratizing Sports Talent Assessment,Ministry of Youth Affairs and Sports,,Software,Open Innovation,Develop a mobile-based platform to assess sports talent across India especially in remote areas using AI/ML to analyze videos of athletes performing fitness tests providing instant feedback and securely submitting data.,true,,73
AI-Powered Personal Farming Assistant for Kerala Farmers,Government of Kerala,,Software,Agriculture,Develop an AI-powered personal farming assistant for Kerala farmers providing personalized agricultural advice through a conversational interface in Malayalam tracking farmer activities and offering proactive guidance based on local context.,true,,74
Gamified Platform to Promote Sustainable Farming Practices,Government of Kerala,,Software,Agriculture,Design a gamified digital platform to encourage sustainable farming practices among farmers using interactive challenges rewards and community participation to educate and motivate farmers to adopt eco-friendly methods.,true,,75
AI-Based Farmer Query Support and Advisory System,Government of Kerala,,Software,Agriculture,Develop an AI-powered advisory system for farmers in Kerala enabling them to ask questions in Malayalam and receive instant context-aware answers utilizing natural language processing image recognition and a knowledge engine incorporating location crop and season data.,true,,76
A hardware that can detect and prevent unauthorized use of electric fences,Government of Kerala,,Hardware,Industry & MSME Innovation,Develop hardware to detect and prevent unauthorized use of electric fences to enhance security and potentially reduce associated risks.,true,,77
Software to detect and turn off LT lines when the line breaks,Government of Kerala,,Software,Open Innovation,Develop software to detect and shut down low-tension lines when they break as an alternative to circuit breakers for the Kerala State Electricity Board providing a software solution for disaster management.,true,,78
Document Overload at Kochi Metro Rail Limited - An automated solution,Government of Kerala,,Software,Industry & MSME Innovation,Develop a system to condense contextualize and route critical information from various document sources to relevant stakeholders at Kochi Metro Rail Limited to address document overload hindering decision-making and operational efficiency.,true,,79
AI-Driven Train Induction Planning and Scheduling for Kochi Metro Rail Limited,Government of Kerala,,Software,Industry & MSME Innovation,Develop an AI-driven platform to optimize train induction planning and scheduling for KMRL integrating data enforcing constraints generating optimized schedules and learning from historical data to replace the inefficient manual process.,true,,80
Development of a travel related software app to capture trip related information,Government of Kerala,,Software,Open Innovation,Develop a mobile app for NATPAC to collect travel data including trip number origin time mode and destination from users to improve transportation planning with automatic detection of details and server storage for analysis.,true,,81
Digital Health Record Management System for migrant workers in Kerala,Government of Kerala,,Software,Health,Develop a software solution to manage health records for migrant workers in Kerala to prevent disease transmission improve public health surveillance and support Sustainable Development Goals by ensuring equitable healthcare access.,true,,82
Earthquake stabilised dialysis system for patient safety during seismic events,Government of Kerala,,Hardware,Open Innovation,Develop a stabilization system to ensure continuous dialysis delivery during seismic events to safeguard patient lives addressing the lack of earthquake-resistant technology in dialysis infrastructure in India.,true,,83
Solution for NON-REVENUE LOSS IN WATER SUPPLY and Water Conservation Treatment,Government of Kerala,,Hardware,Open Innovation,Develop solutions to reduce non-revenue water loss improve water conservation awareness and treat wastewater for domestic reuse for the Kerala government's water supply and sanitation agency.,true,,84
GREY WATER MANAGEMENT AND REUSE WET LAND MANAGEMENT WATER CONSERVATION,Government of Kerala,,Hardware,Waste Management,Develop solutions for grey water management and reuse wetland management and water conservation initiatives by the Government of Kerala involving multiple departments.,true,,85
AI-Based Timetable Generation System aligned with NEP 2020 for Multidisciplinary Education Structures,Government of Jammu and Kashmir,,Software,Industry & MSME Innovation,Develop an AI-powered timetable generation system for higher education institutions aligned with NEP 2020 handling complex course structures student preferences faculty workload and resource availability to automate timetable creation and prevent scheduling conflicts.,true,,86
Development of a Digital Mental Health and Psychological Support System for Students in Higher Education,Government of Jammu and Kashmir,,Software,Health,Develop a digital mental health support system for college students including AI-guided support a booking system a resource hub a peer support platform and an admin dashboard for data analysis to address increasing mental health issues.,true,,87
Centralised Digital Platform for Comprehensive student activity record in Higher Education Institutions,Government of Jammu and Kashmir,,Software,Education,Develop a mobile and web application as a Smart Student Hub managing student records and achievements to provide a centralized digital platform tracking and showcasing student activities in higher education institutions.,true,,88
One-Stop Personalized Career and Education Advisor,Government of Jammu and Kashmir,,Software,Education,Develop a personalized digital platform that guides students on subject selection college choices and career options to address declining enrollment in government degree colleges due to lack of awareness about career paths and educational opportunities.,true,,89
Research and redesign sport equipment using Fusion software with Generative Design and Topology Optimization for 3D printing,Autodesk,,Hardware,Education,Redesign sports equipment using Fusion software focusing on additive manufacturing techniques utilizing features like generative design and topology optimization to enhance functionality and efficiency for 3D printing and showcasing innovation.,true,,90
Use Fusion software to generate NC code with machine details and tool library for industrial components,Autodesk,,Hardware,Education,Use Fusion software to generate NC code for industrial components requiring skills in CAD/CAM G-code programming toolpath optimization and machining fundamentals creating viable real-world solutions using CAM systems.,true,,91
Research and develop a design on autonomous small precision focused machine for planting crops or weeding,Autodesk,,Software,Education,Design an autonomous machine for planting crops or weeding focusing on lightweight and flexible design for easy transportation incorporating Industry 4.0 applications like IoT and AI for smart agriculture to optimize crop production.,true,,92
Design a 4-story commercial office building using Revit Architecture and Revit Structure in a BIM environment,Autodesk,,Software,Education,Design a 4-story commercial office building using Revit Architecture and Revit Structure focusing on BIM model integration creating a clash-free model for MEP design quantity takeoff and construction documentation including structural drawings and walkthrough.,true,,93
Remote classroom for rural colleges,Government of Rajasthan,,Software,Education,Create a remote classroom solution for rural colleges with limited bandwidth prioritizing audio quality compressing visual content and supporting interactive sessions while being accessible on entry-level smartphones and financially sustainable.,true,,96
AI-based drop-out prediction and counseling system,Government of Rajasthan,,Software,Industry & MSME Innovation,Develop an AI-based system to predict student drop-out risk by analyzing attendance assessment scores and fee payment data consolidating data to identify at-risk students and notify mentors for early intervention.,true,,97
ERP-based Integrated Student Management system,Government of Rajasthan,,Software,Industry & MSME Innovation,Create an integrated student management system for a college using cloud-based tools to streamline admissions fee collection hostel allocation and examination records eliminating manual data entry and providing real-time institutional overview.,true,,98
Language Agnostic Chatbot,Government of Rajasthan,,Software,Education,Develop a multilingual chatbot for a college to answer student queries in multiple languages including Hindi and local languages deflecting routine inquiries providing 24/7 information access and integrating with existing platforms.,true,,99
Develop computer programs to identify design principles behind Kolam designs and recreate the kolams,AICTE,,Software,Open Innovation,Develop computer programs preferably in Python to identify the design principles of Kolam art a traditional Indian art form and recreate the designs leveraging computational methods to understand and replicate the mathematical and artistic aspects.,true,,100
Development of AI-powered FRA Atlas and WebGIS-based Decision Support System for Forest Rights Act Implementation,Ministry of Tribal Affairs (MoTA),,Software,Open Innovation,Develop an AI-powered FRA Atlas and WebGIS-based Decision Support System to improve Forest Rights Act implementation by digitizing legacy data creating an interactive atlas mapping assets using AI and satellite data and building a DSS to recommend government schemes for FRA holders.,true,,101
Student Innovation - Agriculture FoodTech and Rural Development (Hardware),AICTE,,Hardware,Agriculture,Student innovation challenge to develop innovative solutions for the Indian agricultural sector focusing on enhancing agricultural practices and processing produce leveraging IoT and embedded technology for agriculture food technology and rural development.,true,,102
Student Innovation - Blockchain and Cybersecurity (Software),AICTE,,Software,Open Innovation,Student innovation challenge to leverage decentralized and distributed ledger technology like blockchain for innovative solutions particularly in areas like cryptocurrencies and NFTs exploring how this technology can transform various sectors.,true,,103
Student Innovation - Clean and Green Technology (Hardware),AICTE,,Hardware,Waste Management,Student innovation challenge focusing on clean and green technology specifically addressing waste management and sanitation developing solutions to improve waste segregation disposal and sanitation systems using embedded and IoT technology.,true,,104
Student Innovation - Fitness and Sports (Hardware),AICTE,,Hardware,Open Innovation,Student innovation challenge to generate innovative ideas to enhance fitness activities and promote physical well-being finding solutions that help individuals stay fit and improve overall health through IoT and mobile technological advancements.,true,,105
Student Innovation - Heritage and Culture (Hardware),AICTE,,Hardware,Open Innovation,Student innovation challenge to showcase India's cultural heritage and traditions through innovative hardware solutions organized by AICTE and MIC-Student Innovation.,true,,106
Student Innovation - MedTech BioTech HealthTech (Software),AICTE,,Software,Health,Student innovation challenge fostering innovation in cutting-edge technology particularly in healthcare and related fields highlighting opportunities arising from shifts in healthcare trends and population growth.,true,,107
Student Innovation - Miscellaneous Tertiary Sectors (Software),AICTE,,Software,Open Innovation,Student innovation challenge to generate technology ideas for various tertiary sectors including Hospitality Financial Services Entertainment and Retail organized by AICTE and MIC-Student Innovation.,true,,108
Student Innovation - Renewable and Sustainable Energy (Hardware),AICTE,,Hardware,Open Innovation,Student innovation challenge to generate innovative ideas for managing and generating renewable and sustainable energy sources more efficiently using embedded systems and IoT technology.,true,,109
Student Innovation - Robotics and Drones (Hardware),AICTE,,Hardware,Open Innovation,Student innovation challenge to design drones and robots to address challenges in India such as medical emergencies and search and rescue led by AICTE fostering student innovation in robotics and related hardware.,true,,110
Student Innovation - Smart Automation using AI (Software),AICTE,,Software,Industry & MSME Innovation,Student innovation challenge using artificial intelligence to transform technology and gain insights from various sources intelligently using resources for advancements in technology and smart automation.,true,,111
Student Innovation - Smart Vehicles (Hardware),AICTE,,Hardware,Transportation,Student innovation challenge to develop intelligent devices to enhance the commutation sector organized by AICTE and MIC-Student Innovation with a theme centered around smart vehicles.,true,,112
Student Innovation - Travel and Tourism (Hardware),AICTE,,Hardware,Open Innovation,Student innovation challenge to generate innovative solutions to improve the tourism industry including hotels and travel services boosting the current state of the tourism sector through new ideas and technologies.,true,,113
